"","grid_label","row","col","lon","lat"
"153","H13","H",13,-2.42851440858754,52.766610250136
"154","H14","H",14,-2.42844030770578,52.7666105179186
"155","H15","H",15,-2.42836620682286,52.766610785655
"156","H16","H",16,-2.42829210593876,52.7666110533451
"157","H17","H",17,-2.42821800505349,52.766611320989
"158","H18","H",18,-2.42814390416704,52.7666115885865
"159","H19","H",19,-2.42806980327943,52.7666118561378
"160","H20","H",20,-2.42799570239064,52.7666121236428
"161","I1","I",1,-2.4294031766435,52.7665620867988
"162","I2","I",2,-2.42932907585212,52.7665623551364
"163","I3","I",3,-2.42925497505957,52.7665626234277
"164","I4","I",4,-2.42918087426585,52.7665628916728
"165","I5","I",5,-2.42910677347095,52.7665631598715
"166","I6","I",6,-2.42903267267487,52.766563428024
"167","I7","I",7,-2.42895857187763,52.7665636961302
"168","I8","I",8,-2.42888447107921,52.7665639641901
"169","I9","I",9,-2.42881037027961,52.7665642322038
"170","I10","I",10,-2.42873626947884,52.7665645001711
"171","I11","I",11,-2.4286621686769,52.7665647680922
"172","I12","I",12,-2.42858806787379,52.766565035967
"173","I13","I",13,-2.42851396706951,52.7665653037955
"174","I14","I",14,-2.42843986626405,52.7665655715777
"175","I15","I",15,-2.42836576545742,52.7665658393137
"176","I16","I",16,-2.42829166464962,52.7665661070034
"177","I17","I",17,-2.42821756384064,52.7665663746468
"178","I18","I",18,-2.42814346303049,52.7665666422439
"179","I19","I",19,-2.42806936221918,52.7665669097947
"180","I20","I",20,-2.42799526140669,52.7665671772993
"181","J1","J",1,-2.42940273421107,52.7665171404632
"182","J2","J",2,-2.429328633496,52.7665174088004
"183","J3","J",3,-2.42925453277974,52.7665176770913
"184","J4","J",4,-2.42918043206231,52.7665179453359
"185","J5","J",5,-2.42910633134371,52.7665182135342
"186","J6","J",6,-2.42903223062393,52.7665184816863
"187","J7","J",7,-2.42895812990298,52.766518749792
"188","J8","J",8,-2.42888402918086,52.7665190178515
"189","J9","J",9,-2.42880992845756,52.7665192858647
"190","J10","J",10,-2.42873582773309,52.7665195538316
"191","J11","J",11,-2.42866172700745,52.7665198217523
"192","J12","J",12,-2.42858762628063,52.7665200896266
"193","J13","J",13,-2.42851352555264,52.7665203574547
"194","J14","J",14,-2.42843942482348,52.7665206252365
"195","J15","J",15,-2.42836532409315,52.7665208929721
"196","J16","J",16,-2.42829122336164,52.7665211606613
"197","J17","J",17,-2.42821712262896,52.7665214283043
"198","J18","J",18,-2.42814302189512,52.766521695901
"199","J19","J",19,-2.42806892116009,52.7665219634513
"200","J20","J",20,-2.4279948204239,52.7665222309555
"201","K1","K",1,-2.42940229177983,52.7664721941273
"202","K2","K",2,-2.42932819114105,52.766472462464
"203","K3","K",3,-2.42925409050109,52.7664727307545
"204","K4","K",4,-2.42917998985996,52.7664729989987
"205","K5","K",5,-2.42910588921765,52.7664732671965
"206","K6","K",6,-2.42903178857417,52.7664735353482
"207","K7","K",7,-2.42895768792952,52.7664738034535
"208","K8","K",8,-2.42888358728369,52.7664740715125
"209","K9","K",9,-2.42880948663669,52.7664743395253
"210","K10","K",10,-2.42873538598851,52.7664746074918
"211","K11","K",11,-2.42866128533917,52.766474875412
"212","K12","K",12,-2.42858718468865,52.7664751432859
"213","K13","K",13,-2.42851308403695,52.7664754111136
"214","K14","K",14,-2.42843898338409,52.766475678895
"215","K15","K",15,-2.42836488273005,52.76647594663
"216","K16","K",16,-2.42829078207484,52.7664762143188
"217","K17","K",17,-2.42821668141846,52.7664764819614
"218","K18","K",18,-2.42814258076091,52.7664767495576
"219","K19","K",19,-2.42806848010218,52.7664770171076
"220","K20","K",20,-2.42799437944229,52.7664772846113
"221","L1","L",1,-2.42940184934976,52.766427247791
"222","L2","L",2,-2.42932774878727,52.7664275161273
"223","L3","L",3,-2.42925364822361,52.7664277844173
"224","L4","L",4,-2.42917954765877,52.7664280526611
"225","L5","L",5,-2.42910544709276,52.7664283208585
"226","L6","L",6,-2.42903134652558,52.7664285890097
"227","L7","L",7,-2.42895724595722,52.7664288571146
"228","L8","L",8,-2.42888314538769,52.7664291251732
"229","L9","L",9,-2.42880904481699,52.7664293931856
"230","L10","L",10,-2.42873494424511,52.7664296611516
"231","L11","L",11,-2.42866084367206,52.7664299290714
"232","L12","L",12,-2.42858674309783,52.7664301969449
"233","L13","L",13,-2.42851264252244,52.7664304647721
"234","L14","L",14,-2.42843854194587,52.766430732553
"235","L15","L",15,-2.42836444136813,52.7664310002877
"236","L16","L",16,-2.42829034078921,52.7664312679761
"237","L17","L",17,-2.42821624020913,52.7664315356182
"238","L18","L",18,-2.42814213962787,52.766431803214
